id	source	claim_family	claim_form	actor	object	boundary	metric_basis	temporal_structure	intervention_logic	normative_threshold	evidence_basis	accountability_relation	sustainability_purpose	alignment_test	primary_relation	secondary_relations	modeling_consequence	coding_rationale
C3c	SBTi	Science-based target	Same target resubmitted with updated evidence	Company	Same corporate target	Same boundary	Same metric basis	Same target period	Updated evidence, same intervention logic	Net-zero or science-based target criteria	Target documentation and validation evidence	Updated validation evidence	Climate mitigation	C3=C3	Equivalence with provenance		Preserve equivalence with evidence provenance	SBTi source semantics preserve actor, object, boundary, metric, time, and intervention; only evidence provenance changes. Implied consequence: Preserve equivalence with evidence provenance.
C3d	SBTi	Science-based target	Target ambition without external validation	Company	Corporate target	Unspecified or partial scope	CO2e target metric	Target year	Planned reductions	Net-zero or science-based target criteria	Target documentation and validation evidence	Internal commitment	Climate mitigation	C2=C3	Accountability qualification	Underspecification	Do not collapse ambition into validated target	SBTi source semantics preserve target content but code accountability/evidence as Internal commitment, so validation or reporting status must be modeled separately. Secondary relation recorded: Underspecification. Implied consequence: Do not collapse ambition into validated target.
C3e	SBTi	Science-based target	Prior target superseded by approved updated target	Company	Corporate target	Same target boundary	Same metric basis	Updated target period	Updated reduction pathway	Net-zero or science-based target criteria	Target documentation and validation evidence	External validation	Climate mitigation	C3->C3	Replacement		Revise target reference and retain history	SBTi source semantics indicate supersession by an approved update, so the target reference must be revised while retaining history. Implied consequence: Revise target reference and retain history.
C4a	EU taxonomy	Taxonomy-aligned activity	Taxonomy-aligned renewable energy activity	Economic actor	Economic activity	Activity boundary	Taxonomy technical screening criteria	Reporting / eligibility period	Substantial contribution	Taxonomy substantial-contribution, DNSH, and safeguard criteria	Activity criteria, DNSH, safeguards, and disclosure evidence	Regulatory reporting / criteria	Sustainable finance and environmental objective alignment	C4=sustainable investment	Refinement	Conflict if safeguards fail	Preserve safeguards; block broad generalization	EU taxonomy source semantics add criteria or detail while preserving the broader commitment; the added detail must remain explicit. Secondary relation recorded: Conflict if safeguards fail. Implied consequence: Preserve safeguards; block broad generalization.
C4b	EU taxonomy	Taxonomy-aligned activity	Do-no-significant-harm-compliant activity	Economic actor	Economic activity	Activity boundary	Environmental objective and DNSH criteria	Reporting period	Compliance with criteria	Taxonomy substantial-contribution, DNSH, and safeguard criteria	Activity criteria, DNSH, safeguards, and disclosure evidence	Regulatory disclosure	Sustainable finance and environmental objective alignment	C4=corporate climate target	Boundary shift		Do not transform eligibility into target achievement	EU taxonomy source semantics code object/boundary as Economic activity / Activity boundary, so preservation requires separation or qualification. Implied consequence: Do not transform eligibility into target achievement.
C4c	EU taxonomy	Sustainable finance claim	Portfolio described as sustainable	Fund / financial actor	Portfolio	Portfolio boundary	Mixed activity-level criteria	Reporting period	Allocation / classification	Taxonomy substantial-contribution, DNSH, and safeguard criteria	Activity criteria, DNSH, safeguards, and disclosure evidence	Disclosure / investor communication	Sustainable finance and environmental objective alignment	C4=sustainable investment	Refinement	Conflict if safeguards fail	Qualify portfolio claim by activity criteria	EU taxonomy source semantics add criteria or detail while preserving the broader commitment; the added detail must remain explicit. Secondary relation recorded: Conflict if safeguards fail. Implied consequence: Qualify portfolio claim by activity criteria.
C4d	EU taxonomy	Taxonomy eligibility claim	Eligible economic activity	Economic actor	Economic activity	Activity eligibility boundary	Taxonomy eligibility criteria	Reporting period	Eligibility screening	Taxonomy substantial-contribution, DNSH, and safeguard criteria	Activity criteria, DNSH, safeguards, and disclosure evidence	Regulatory disclosure	Sustainable finance and environmental objective alignment	C4=sustainable investment	Refinement		Do not treat eligibility as alignment	EU taxonomy source semantics add criteria or detail while preserving the broader commitment; the added detail must remain explicit. Implied consequence: Do not treat eligibility as alignment.
C4e	EU taxonomy	Taxonomy-aligned activity	Activity claim failing do-no-significant-harm safeguards	Economic actor	Economic activity	Activity boundary	Taxonomy criteria with failed safeguard	Reporting period	Non-compliance with safeguards	Taxonomy substantial-contribution, DNSH, and safeguard criteria	Activity criteria, DNSH, safeguards, and disclosure evidence	Regulatory disclosure	Sustainable finance and environmental objective alignment	C4#=sustainable investment	Conflict		Block alignment until safeguards evidence is revised	EU taxonomy source semantics include failed safeguards or incompatible requirements, so alignment is blocked until evidence is revised. Implied consequence: Block alignment until safeguards evidence is revised.
C5a	Circular economy	Circular product	Circular product design claim	Manufacturer	Product design	Product life-cycle / design boundary	Repairability, modularity, durability, or circular-design criteria	Product life-cycle	Design for repair, reuse, or recycling	Circularity strategy or product-design criterion	Circularity assessment or business-model evidence	Product stewardship / documentation	Circular economy	C5=C4	Trace-only relation		Link sustainability purpose; block equivalence	Circular economy source semantics share sustainability context but do not preserve enough object, boundary, accountability, or intervention structure for merge. Implied consequence: Link sustainability purpose; block equivalence.
C5b	Circular economy	Circular business model	Product-service model claim	Firm	Service and product system	Business-model boundary	Use intensity, lifetime extension, or material-loop metrics	Ongoing service period	Reuse, repair, leasing, or sharing	Circularity strategy or product-design criterion	Circularity assessment or business-model evidence	Business-model evidence	Circular economy	C5=sustainable investment	Boundary shift		Do not generalize business-model claim to investment sustainability	Circular economy source semantics code object/boundary as Service and product system / Business-model boundary, so preservation requires separation or qualification. Implied consequence: Do not generalize business-model claim to investment sustainability.
C5c	Circular economy	Reuse claim	Reusable packaging claim	Producer / retailer	Packaging system	Return and reuse loop boundary	Reuse cycles or return rate	Reporting or operating period	Reuse and reverse logistics	Circularity strategy or product-design criterion	Circularity assessment or business-model evidence	Operational evidence	Circular economy	C5=C5	Refinement		Represent as refinement of circular-product claim	Circular economy source semantics add criteria or detail while preserving the broader commitment; the added detail must remain explicit. Implied consequence: Represent as refinement of circular-product claim.
C5d	Circular economy	Repairability claim	Repairable product claim	Manufacturer	Product	Design and after-sales boundary	Repairability score or service availability	Product life-cycle	Repair and maintenance	Circularity strategy or product-design criterion	Circularity assessment or business-model evidence	Product documentation / consumer information	Circular economy	C5=C5	Metric translation		Translate repair metric without merging all circularity claims	Circular economy source semantics code metric basis as Repairability score or service availability; mapping is allowed only as translation with framework provenance. Implied consequence: Translate repair metric without merging all circularity claims.
C6a	GRI/ESRS reporting	Reporting indicator alignment	Emissions disclosure indicator	Reporting organization	Disclosure item	Reporting boundary	Indicator definition and unit	Reporting period	Disclosure / measurement	Reporting-framework disclosure or indicator criterion	Reporting-framework provenance and indicator mapping evidence	Reporting standard	Sustainability reporting and disclosure	C6=C2	Trace-only relation		Link indicator to target; block target substitution	GRI/ESRS reporting source semantics share sustainability context but do not preserve enough object, boundary, accountability, or intervention structure for merge. Implied consequence: Link indicator to target; block target substitution.
C6b	GRI/ESRS reporting	Disclosure alignment	ESRS climate transition-plan disclosure	Reporting organization	Transition-plan disclosure	Reporting entity boundary	Disclosure requirement	Reporting period	Disclosure of plan and assumptions	Reporting-framework disclosure or indicator criterion	Reporting-framework provenance and indicator mapping evidence	Assurance / reporting governance	Sustainability reporting and disclosure	C6=C2	Accountability qualification		Do not treat disclosure as target achievement	GRI/ESRS reporting source semantics preserve target content but code accountability/evidence as Assurance / reporting governance, so validation or reporting status must be modeled separately. Implied consequence: Do not treat disclosure as target achievement.
C6c	GRI/ESRS reporting	Indicator mapping	GRI-to-ESRS indicator mapping	Reporting organization	Indicator correspondence	Reporting-framework boundary	Indicator mapping and units	Reporting period	Semantic reporting alignment	Reporting-framework disclosure or indicator criterion	Reporting-framework provenance and indicator mapping evidence	Reporting ontology / mapping evidence	Sustainability reporting and disclosure	C6=C6	Metric translation		Translate indicator while preserving framework provenance	GRI/ESRS reporting source semantics code metric basis as Indicator mapping and units; mapping is allowed only as translation with framework provenance. Implied consequence: Translate indicator while preserving framework provenance.
C6d	GRI/ESRS reporting	Taxonomy disclosure alignment	Taxonomy KPI disclosed in sustainability report	Reporting organization	Taxonomy KPI / disclosure element	Activity and reporting boundary	Taxonomy KPI and reporting metric	Reporting period	Disclosure of eligibility or alignment	Reporting-framework disclosure or indicator criterion	Reporting-framework provenance and indicator mapping evidence	Regulatory disclosure	Sustainability reporting and disclosure	C6=C4	Boundary shift		Record activity/reporting-boundary difference	GRI/ESRS reporting source semantics code object/boundary as Taxonomy KPI / disclosure element / Activity and reporting boundary, so preservation requires separation or qualification. Implied consequence: Record activity/reporting-boundary difference.
C6e	Early reporting model	Sustainability KPI	KPI labeled climate neutral without definition	Reporting organization	Disclosure item	Reporting entity boundary	Unspecified	Reporting period	Disclosure	Reporting-framework disclosure or indicator criterion	Reporting-framework provenance and indicator mapping evidence	Reporting note	Sustainability reporting and disclosure	C6?=C2	Underspecification		Complete metric definition before mapping to target	Early reporting model formulation leaves boundary, metric, time, object insufficiently specified, so completion is required before preservation can be judged. Implied consequence: Complete metric definition before mapping to target.
